Table ID,Table Name
"230","_jt_GraphicType_State"
"251","_jt_Image_Graphic"
"223","_jt_Outcome_Effect"
"252","_jt_ResourceAttribute_Graphic"
"203","_jt_ScreenElement_InformationElement"
"236","_jt_ScreenElement_ScreenElement"
"234","_jt_Widget_Action"
"253","_jt_Widget_GraphicType"
"233","_jt_Widget_State"
"224","Action"
"200","Effect"
"215","Error"
"211","Graphic"
"204","Graphic Type"
"229","Help Tag"
"250","Image"
"202","Information Level"
"218","Interaction"
"214","Message String"
"249","Object Field"
"248","Object Type"
"212","Outcome"
"201","Resource Attribute"
"242","Resource Link"
"219","Resource Type"
"216","Screen Element"
"209","Screen Label"
"208","State"
"213","Widget"
